lightIsRed,distanceToGoal,performedStop
0.0,0.96,0.0
0.0,0.951,0.0
0.0,0.941,0.0
0.0,0.932,0.0
0.0,0.922,0.0
0.0,0.913,0.0
0.0,0.903,0.0
0.0,0.894,0.0
0.0,0.884,0.0
0.0,0.875,0.0
0.0,0.865,0.0
0.0,0.855,0.0
0.0,0.846,0.0
0.0,0.836,0.0
0.0,0.827,0.0
0.0,0.817,0.0
0.0,0.808,0.0
0.0,0.798,0.0
0.0,0.789,0.0
0.0,0.779,0.0
0.0,0.779,0.0
0.0,0.761,0.0
0.0,0.751,0.0
0.0,0.742,0.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
1.0,0.732,1.0
