,lightIsRed,distanceToGoal
0,0.0,0.97
1,0.0,0.96
2,0.0,0.949
3,0.0,0.938
4,0.0,0.927
5,0.0,0.917
6,0.0,0.906
7,0.0,0.895
8,0.0,0.884
9,0.0,0.874
10,0.0,0.863
11,0.0,0.852
12,0.0,0.841
13,0.0,0.831
14,0.0,0.82
15,0.0,0.809
16,0.0,0.798
17,0.0,0.788
18,0.0,0.777
19,0.0,0.766
20,0.0,0.755
21,0.0,0.745
22,0.0,0.734
23,0.0,0.723
24,0.0,0.712
25,0.0,0.702
26,0.0,0.691
27,0.0,0.68
28,0.0,0.669
29,0.0,0.658
30,0.0,0.648
31,0.0,0.637
32,0.0,0.626
33,0.0,0.615
34,0.0,0.605
35,0.0,0.594
36,0.0,0.583
37,0.0,0.572
38,0.0,0.562
39,0.0,0.551
40,1.0,0.54
41,0.0,0.54
42,1.0,0.529
43,0.0,0.529
44,1.0,0.519
45,0.0,0.519
46,0.0,0.508
47,0.0,0.497
48,0.0,0.486
49,0.0,0.474
50,0.0,0.464
51,0.0,0.453
52,0.0,0.442
53,0.0,0.431
54,0.0,0.421
55,0.0,0.41
56,0.0,0.399
57,0.0,0.388
58,0.0,0.378
59,0.0,0.367
60,0.0,0.356
61,0.0,0.345
62,0.0,0.335
63,0.0,0.324
64,0.0,0.313
65,0.0,0.302
66,0.0,0.292
67,0.0,0.281
68,0.0,0.27
69,0.0,0.259
70,0.0,0.248
71,0.0,0.238
72,0.0,0.227
73,0.0,0.216
74,0.0,0.205
75,0.0,0.195
76,0.0,0.184
77,0.0,0.173
78,0.0,0.162
79,0.0,0.152
80,0.0,0.141
81,0.0,0.13
82,0.0,0.119
83,0.0,0.109
84,0.0,0.098
85,0.0,0.087
86,0.0,0.076
87,0.0,0.065
88,0.0,0.054
89,0.0,0.043
90,0.0,0.032
91,0.0,0.022
92,0.0,0.011
93,0.0,0.0
