state-action,transitions
1-1,{1}
1-0,{2}
2-1,{2}
2-0,{3}
3-1,{3}
3-0,{4}
4-1,{4}
4-0,{5}
5-1,{5}
5-0,{6}
6-1,{6}
6-0,{7}
7-1,{7}
7-0,{8}
8-1,{8}
8-0,{9}
9-1,{9}
9-0,{10}
10-1,{10}
10-0,{11}
11-1,{11}
11-0,{12}
12-1,{12}
12-0,{13}
13-1,{13}
13-0,{14}
14-1,{14}
14-0,{15}
15-1,{15}
15-0,{16}
16-1,{16}
16-0,{17}
17-1,{17}
17-0,{18}
18-1,{18}
18-0,{19}
19-1,{19}
19-0,{20}
20-1,{20}
20-0,{21}
21-1,{21}
21-0,{22}
22-1,{22}
22-0,{23}
23-1,{23}
23-0,{24}
24-1,{24}
24-0,{25}
25-1,{25}
25-0,{26}
26-1,{26}
26-0,{27}
27-1,{27}
27-0,{28}
28-1,{28}
28-0,{29}
29-1,{29}
29-0,{30}
30-1,{30}
30-0,{31}
31-1,{31}
31-0,{32}
32-1,{32}
32-0,{33}
33-1,{33}
33-0,{34}
34-1,{34}
34-0,{35}
35-1,{35}
35-0,{36}
36-1,{36}
36-0,{37}
37-1,{37}
37-0,{38}
38-1,{38}
38-0,{39}
39-1,{39}
39-0,"{40, 41}"
40-1,"{40, 41}"
40-0,"{42, 43}"
41-1,"{40, 41}"
41-0,"{42, 43}"
42-1,"{42, 43}"
42-0,"{44, 45}"
43-1,"{44, 45}"
43-0,"{44, 45}"
44-1,"{44, 45}"
44-0,{46}
45-1,"{44, 45}"
45-0,{46}
46-1,{46}
46-0,{47}
47-1,{47}
47-0,{48}
48-1,{48}
48-0,{49}
49-1,{49}
49-0,{50}
50-1,{50}
50-0,{51}
51-1,{51}
51-0,{52}
52-1,{52}
52-0,{53}
53-1,{53}
53-0,{54}
54-1,{54}
54-0,{55}
55-1,{55}
55-0,{56}
56-1,{56}
56-0,{57}
57-1,{57}
57-0,{58}
58-1,{58}
58-0,{59}
59-1,{59}
59-0,{60}
60-1,{60}
60-0,{61}
61-1,{61}
61-0,{62}
62-1,{62}
62-0,{63}
63-1,{63}
63-0,{64}
64-1,{64}
64-0,{65}
65-1,{65}
65-0,{66}
66-1,{66}
66-0,{67}
67-1,{67}
67-0,{68}
68-1,{68}
68-0,{69}
69-1,{69}
69-0,{70}
70-1,{70}
70-0,{71}
71-1,{71}
71-0,{72}
72-1,{72}
72-0,{73}
73-1,{73}
73-0,{74}
74-1,{74}
74-0,{75}
75-1,{75}
75-0,{76}
76-1,{76}
76-0,{77}
77-1,{77}
77-0,{78}
78-1,{78}
78-0,{79}
79-1,{79}
79-0,{80}
80-1,{80}
80-0,{81}
81-1,{81}
81-0,{82}
82-1,{82}
82-0,{83}
83-1,{83}
83-0,{84}
84-1,{84}
84-0,{85}
85-1,{85}
85-0,{86}
86-1,{86}
86-0,{87}
87-1,{87}
87-0,{88}
88-1,{88}
88-0,{89}
89-1,{89}
89-0,{90}
90-1,{90}
90-0,{91}
91-1,{91}
91-0,{92}
92-1,{92}
92-0,{93}
